Serial No,Cement_kg_m3,Fly_Ash_kg_m3,GGBS_kg_m3,metakolin_kg_m3,TCM,Water_kg_m3,water/TCM,Sand_kg_m3,AGE,Compressive_Strength_MPa,Density,admixture,Coarse aggregate
1767,226.9,96.66,98.7,11.87,434.13,174.61,0.402,745.61,14,45.468,2596.43,3.89,1238.19
1768,253.68,91.53,126.84,35.31,507.36,177.13,0.349,742.99,28,59.8,2606.34,6.45,1172.41
1769,337.93,0.0,352.08,172.5,862.51,143.86,0.167,928.69,28,121.64,2066.74,24.24,107.43
1770,205.31,85.55,51.33,0.0,342.19,158.12,0.462,717.28,7,23.865,2404.11,2.07,1184.45
1771,338.88,0.0,435.71,193.65,968.24,136.74,0.141,1082.75,28,131.59,2219.39,31.66,0.0
1772,226.26,89.95,113.13,23.18,452.51,150.82,0.333,741.15,28,50.61,2538.19,5.57,1188.14
1773,203.34,84.72,50.83,0.0,338.89,152.33,0.449,700.95,3,20.549,2385.23,2.76,1190.29
1774,242.29,90.37,121.15,30.77,484.58,181.45,0.374,717.08,7,53.955,2557.13,6.64,1167.39
1775,254.96,80.21,169.98,61.44,566.58,149.42,0.264,777.13,14,84.22,2590.81,11.55,1086.12
1776,331.3,8.6,317.53,157.91,815.34,135.5,0.166,868.75,28,117.89,2416.77,22.22,574.96
1777,188.75,78.65,47.19,0.0,314.59,153.65,0.488,791.1,3,9.059,2511.24,2.59,1249.32
1778,332.04,15.41,307.38,152.15,806.98,132.54,0.164,895.83,7,79.631,2385.78,21.11,529.31
1779,220.73,96.66,69.26,0.0,386.64,154.95,0.401,718.0,14,35.74,2462.41,2.57,1200.25
1780,242.94,90.6,121.47,30.87,485.87,180.21,0.371,699.39,28,56.77,2563.5,4.91,1193.12
1781,341.3,0.0,438.82,195.03,975.15,142.05,0.146,983.22,28,133.68,2136.37,35.95,0.0
1782,221.21,94.88,94.62,10.39,421.1,152.61,0.362,760.9,7,42.496,2568.79,4.13,1230.04
1783,253.81,83.24,162.39,55.49,554.93,159.5,0.287,769.63,14,76.146,2586.57,10.01,1092.5
1784,345.2,0.0,481.56,206.69,1033.44,143.77,0.139,1017.37,28,146.39,2229.21,34.62,0.0
1785,208.27,86.78,52.07,0.0,347.11,149.43,0.43,721.37,3,24.397,2389.78,2.16,1169.7
1786,342.27,0.0,440.06,195.58,977.92,144.98,0.148,1005.72,28,134.93,2160.19,31.57,0.0
1787,261.68,68.2,174.45,77.18,581.51,129.35,0.222,760.9,14,94.242,2523.0,13.19,1038.04
1788,334.58,0.0,430.18,191.19,955.96,142.13,0.149,1024.7,28,134.81,2155.4,32.62,0.0
1789,199.66,83.19,49.92,0.0,332.77,152.65,0.459,717.75,3,17.056,2380.93,2.53,1175.22
1790,219.05,95.7,89.31,7.08,411.15,170.94,0.416,729.76,7,38.53,2488.0,4.73,1171.42
1791,343.42,0.0,441.55,196.24,981.21,138.55,0.141,1056.49,28,139.08,2208.88,32.63,0.0
1792,331.52,2.19,328.02,163.79,825.52,149.71,0.181,880.82,28,119.47,2430.13,21.23,552.86
1793,350.42,0.0,450.55,200.24,1001.21,152.31,0.152,997.35,3,66.076,2184.28,33.41,0.0
1794,277.51,51.94,198.53,98.2,626.19,119.23,0.19,792.8,28,103.41,2518.34,14.29,965.83
1795,248.43,90.13,124.22,34.08,496.86,166.86,0.336,722.4,14,59.297,2589.27,5.0,1198.14
1796,313.66,26.85,270.7,132.66,743.88,136.56,0.184,892.79,28,112.78,2542.09,20.35,748.51
1797,195.33,81.39,48.83,0.0,325.55,144.66,0.444,750.44,3,15.497,2447.15,2.09,1224.4
1798,209.79,87.41,52.45,0.0,349.64,150.47,0.43,780.6,7,25.557,2461.83,2.17,1178.95
1799,250.32,91.52,125.16,33.64,500.64,180.16,0.36,739.17,14,58.594,2602.31,6.07,1176.27
1800,214.14,91.99,61.82,0.0,367.95,159.9,0.435,731.33,28,33.602,2488.05,3.51,1225.37
1801,197.6,82.33,49.4,0.0,329.33,145.57,0.442,772.44,3,14.749,2439.98,2.26,1190.38
1802,213.63,92.77,64.69,0.0,371.08,152.42,0.411,717.61,7,28.181,2468.2,2.75,1224.33
1803,239.45,89.82,119.73,29.9,478.9,160.49,0.335,748.75,14,56.22,2563.57,5.88,1169.55
1804,338.43,0.0,435.13,193.39,966.95,136.92,0.142,1039.9,28,132.69,2173.65,29.88,0.0
1805,195.28,81.37,48.82,0.0,325.47,145.6,0.447,751.65,3,18.828,2425.54,2.34,1200.47
1806,339.52,0.0,473.53,203.26,1016.31,138.85,0.137,965.15,28,146.37,2152.2,31.88,0.0
1807,249.68,82.91,164.88,55.27,552.74,163.93,0.297,730.41,14,78.181,2601.7,8.83,1145.78
1808,346.32,0.0,454.76,200.27,1001.35,155.64,0.155,981.48,28,141.66,2171.01,32.54,0.0
1809,203.17,84.65,50.79,0.0,338.61,150.69,0.445,752.32,3,18.68,2483.45,1.96,1239.86
1810,225.21,97.71,93.54,8.54,425.0,160.11,0.377,692.72,7,44.019,2472.42,4.74,1189.86
1811,250.02,82.63,163.12,55.09,550.85,148.85,0.27,753.37,14,78.706,2553.18,8.96,1091.14
1812,272.14,66.35,181.43,84.84,604.77,149.61,0.247,766.14,28,96.76,2560.29,12.48,1027.29
1813,195.74,81.56,48.93,0.0,326.23,148.42,0.455,730.89,3,12.015,2423.35,1.93,1215.89
1814,222.53,96.64,92.2,8.27,419.64,167.44,0.399,753.22,7,40.763,2503.13,4.05,1158.78
1815,335.39,0.0,489.04,206.11,1030.54,147.93,0.144,971.1,14,134.129,2194.25,44.68,0.0
1816,324.26,15.7,299.14,148.0,787.1,148.5,0.189,813.7,28,116.01,2422.73,21.4,652.03
1817,342.87,0.0,360.55,175.85,879.27,141.15,0.161,925.83,3,49.919,2163.95,25.38,192.31
1818,351.74,0.0,474.43,206.54,1032.71,161.19,0.156,1012.23,28,143.76,2245.53,39.41,0.0
1819,318.65,17.38,290.84,143.68,770.55,146.95,0.191,820.31,14,99.297,2377.82,19.42,620.59
1820,269.18,64.75,179.45,84.8,598.18,144.93,0.242,799.65,28,97.253,2564.38,13.0,1008.62
1821,344.28,0.0,442.64,196.73,983.65,144.74,0.147,962.58,3,63.825,2126.16,35.19,0.0
1822,217.57,96.77,84.44,3.9,402.68,175.59,0.436,767.85,7,38.354,2529.25,2.94,1180.18
1823,227.09,89.72,113.55,23.83,454.18,163.06,0.359,698.35,14,49.009,2488.03,5.29,1167.15
1824,253.85,81.18,152.03,54.12,541.17,154.04,0.285,776.61,28,73.64,2536.08,10.07,1054.19
1825,194.34,80.97,48.58,0.0,323.9,153.02,0.472,704.92,3,10.944,2391.56,2.38,1207.35
1826,282.47,55.4,198.57,98.48,634.91,146.22,0.23,751.9,28,102.55,2520.56,14.28,973.25
1827,223.14,94.16,99.31,13.32,429.93,173.2,0.403,684.49,14,44.368,2534.59,4.95,1242.01
1828,255.13,83.46,138.61,47.79,524.99,160.73,0.306,724.09,28,67.01,2526.92,7.17,1109.95
1829,197.77,82.41,49.44,0.0,329.62,143.93,0.437,762.2,3,17.188,2438.24,1.91,1200.57
1830,213.36,90.39,57.81,0.0,361.55,159.39,0.441,701.28,7,31.977,2445.15,3.41,1219.52
1831,243.39,90.76,121.69,30.94,486.78,167.98,0.345,704.52,14,54.947,2561.37,6.24,1195.85
1832,232.89,88.46,116.44,27.98,465.78,152.79,0.328,744.73,28,55.04,2525.14,6.22,1155.63
1833,189.63,79.01,47.41,0.0,316.05,139.11,0.44,721.43,3,10.594,2387.15,2.04,1208.51
1834,335.0,0.0,430.72,191.43,957.15,142.48,0.149,1071.56,28,132.82,2200.23,29.04,0.0
1835,221.71,100.74,80.52,0.0,402.98,175.09,0.434,731.1,14,38.232,2472.72,3.59,1159.97
1836,242.63,91.98,121.31,29.33,485.25,163.21,0.336,714.57,28,55.22,2520.39,6.87,1150.49
1837,202.03,84.18,50.51,0.0,336.71,142.55,0.423,707.51,3,21.393,2433.43,2.33,1244.34
1838,227.05,92.97,108.15,18.76,446.94,158.28,0.354,755.54,7,48.397,2577.6,6.16,1210.67
1839,254.56,82.48,157.82,54.98,549.84,163.64,0.298,753.22,14,75.674,2625.34,10.0,1148.64
1840,345.68,0.0,444.44,197.53,987.65,152.74,0.155,982.35,28,134.63,2160.03,37.3,0.0
1841,194.03,80.84,48.51,0.0,323.38,140.1,0.433,782.92,3,13.718,2443.08,2.31,1194.38
1842,333.55,0.21,333.22,166.59,833.56,152.4,0.183,861.52,7,84.963,2618.94,23.04,748.41
1843,225.55,91.64,109.23,19.95,446.37,150.77,0.338,696.42,14,48.824,2461.47,5.57,1162.35
1844,346.01,0.0,444.87,197.72,988.6,157.78,0.16,975.7,28,139.9,2155.63,33.55,0.0
1845,189.44,78.93,47.36,0.0,315.73,155.82,0.494,708.8,3,8.128,2422.0,2.3,1239.35
1846,201.92,84.13,50.48,0.0,336.53,147.22,0.437,739.01,7,22.225,2461.45,2.33,1236.36
1847,258.01,80.95,144.71,53.29,536.95,170.35,0.317,739.08,14,69.749,2629.65,8.8,1174.46
1848,220.99,95.01,93.96,9.97,419.93,157.66,0.375,762.41,28,44.75,2494.94,4.4,1150.53
1849,207.46,86.44,51.87,0.0,345.77,149.02,0.431,764.49,3,28.946,2496.96,2.53,1235.15
1850,248.95,86.49,128.6,39.36,503.4,171.25,0.34,725.98,7,62.728,2544.53,7.87,1136.04
1851,281.04,54.24,198.78,98.49,632.55,119.65,0.189,809.19,14,102.849,2550.33,15.31,973.63
1852,339.53,0.0,436.54,194.02,970.08,146.9,0.151,1039.47,28,137.04,2186.2,29.75,0.0
1853,193.63,80.68,48.41,0.0,322.72,144.37,0.447,755.43,3,14.18,2407.26,1.86,1182.87
1854,213.79,92.63,64.11,0.0,370.54,161.56,0.436,775.49,7,28.731,2525.63,3.18,1214.87
1855,224.34,88.37,112.17,23.8,448.68,160.74,0.358,728.76,14,50.031,2512.7,5.73,1168.8
1856,343.71,0.0,494.1,209.45,1047.26,157.23,0.15,987.83,28,148.72,2236.03,43.72,0.0
1857,335.16,0.0,402.87,184.51,922.53,138.82,0.15,929.61,3,62.278,2226.11,29.17,205.97
1858,330.46,0.0,394.63,181.27,906.36,136.06,0.15,993.19,7,91.317,2434.48,33.44,365.43
1859,253.46,80.09,147.0,53.39,533.95,155.66,0.292,757.8,14,71.283,2541.41,9.94,1084.06
1860,235.14,90.23,117.57,27.34,470.28,158.99,0.338,720.57,28,54.064,2520.24,6.06,1164.33
1861,203.68,84.87,50.92,0.0,339.47,144.03,0.424,725.35,3,25.476,2368.39,2.12,1157.42
1862,237.45,88.55,118.72,30.17,474.89,154.92,0.326,726.13,7,48.607,2526.25,6.68,1163.63
1863,342.56,0.0,440.43,195.75,978.73,154.08,0.157,1027.65,28,137.28,2194.57,34.11,0.0
1864,341.65,0.0,460.82,200.62,1003.09,144.32,0.144,1099.55,28,143.76,2283.78,36.82,0.0
1865,323.15,20.59,290.2,143.04,776.98,137.54,0.177,836.39,28,114.7,2521.67,20.78,749.98
1866,203.34,84.73,50.84,0.0,338.91,146.06,0.431,784.61,7,26.268,2496.1,2.94,1223.57
1867,251.69,80.91,152.85,53.94,539.39,147.09,0.273,778.56,14,74.461,2549.21,8.48,1075.68
1868,333.67,0.0,405.36,184.76,923.79,143.78,0.156,957.13,28,127.76,2432.88,26.93,381.25
1869,199.27,83.03,49.82,0.0,332.12,150.75,0.454,704.08,3,18.798,2371.3,2.86,1181.5
1870,351.7,0.0,476.43,207.03,1035.16,152.59,0.147,984.25,7,92.421,2214.92,42.91,0.0
1871,258.58,81.2,144.93,53.3,538.01,147.99,0.275,742.63,14,68.355,2599.15,8.53,1161.99
1872,337.82,2.06,334.52,167.05,841.45,147.85,0.176,825.34,28,119.51,2489.3,23.16,651.51
1873,194.67,81.11,48.67,0.0,324.45,140.47,0.433,775.17,3,11.006,2434.26,1.89,1192.29
1874,342.62,0.0,359.2,175.45,877.27,153.48,0.175,978.42,7,89.17,2339.17,24.69,305.31
1875,220.75,96.64,89.54,6.79,413.72,170.55,0.412,726.98,14,42.712,2497.73,3.39,1183.08
1876,249.2,81.54,158.51,54.36,543.6,165.96,0.305,743.94,28,77.195,2610.55,9.05,1147.99
1877,196.99,82.08,49.25,0.0,328.32,143.41,0.437,707.1,3,17.521,2380.17,2.55,1198.79
1878,346.84,0.0,445.94,198.2,990.98,152.65,0.154,993.34,28,135.29,2171.79,34.82,0.0
1879,243.96,89.72,121.98,32.26,487.92,158.66,0.325,720.35,14,58.061,2563.69,7.16,1189.6
1880,331.63,4.07,325.11,162.15,822.97,142.35,0.173,829.13,28,119.01,2361.39,23.52,543.41
1881,351.9,0.0,452.44,201.08,1005.42,157.07,0.156,1091.49,28,139.35,2286.38,32.4,0.0
1882,206.46,86.02,51.61,0.0,344.09,149.54,0.435,732.59,7,26.779,2426.54,2.75,1197.57
1883,256.72,86.57,136.06,44.35,523.71,171.14,0.327,743.11,14,64.898,2618.18,9.1,1171.13
1884,350.26,0.0,487.81,209.52,1047.6,149.91,0.143,1008.94,28,146.26,2246.92,40.47,0.0
1885,197.51,82.3,49.38,0.0,329.18,161.8,0.492,770.98,3,16.714,2509.34,2.32,1245.06
1886,213.74,91.36,60.35,0.0,365.45,150.65,0.412,726.86,7,31.247,2473.91,3.28,1227.66
1887,239.6,89.59,119.8,30.21,479.19,169.22,0.353,713.69,14,56.522,2549.34,6.38,1180.87
1888,264.91,77.7,176.61,69.48,588.69,133.39,0.227,760.92,28,89.01,2568.46,12.07,1073.39
1889,324.99,15.05,300.91,148.95,789.91,139.37,0.176,840.92,28,116.19,2454.6,21.15,663.25
1890,213.34,93.49,67.13,0.0,373.96,159.74,0.427,749.61,7,35.9,2453.21,2.99,1166.91
1891,250.17,90.41,125.09,34.68,500.35,163.9,0.328,726.16,14,59.651,2567.83,7.34,1170.09
1892,350.28,0.0,475.72,206.5,1032.5,158.88,0.154,1005.28,28,144.3,2235.64,38.98,0.0
1893,201.83,84.1,50.46,0.0,336.38,162.77,0.484,717.22,3,19.011,2396.37,2.9,1177.1
1894,225.28,98.76,91.04,6.68,421.76,164.41,0.39,683.19,7,43.17,2430.53,3.56,1157.61
1895,251.54,79.03,143.63,52.69,526.89,145.65,0.276,767.88,14,68.091,2555.16,8.43,1106.31
1896,272.37,57.67,185.55,92.46,608.05,119.28,0.196,761.39,28,101.03,2470.12,13.78,967.61
1897,215.28,91.86,60.31,0.0,367.45,159.88,0.435,700.01,3,27.459,2475.99,3.26,1245.39
1898,332.84,0.0,347.56,170.1,850.5,158.44,0.186,993.39,28,121.73,2352.75,26.51,323.92
1899,289.68,48.45,215.26,105.88,659.27,142.54,0.216,845.99,14,100.686,2630.89,15.24,967.85
1900,343.38,0.0,482.61,206.5,1032.49,149.13,0.144,1039.89,28,146.97,2265.66,44.14,0.0
1901,187.64,78.18,46.91,0.0,312.73,147.26,0.471,750.11,3,10.877,2431.46,2.66,1218.7
1902,300.61,40.84,236.5,115.4,693.36,138.81,0.2,844.2,7,72.779,2601.54,18.74,906.43
1903,220.05,97.51,86.3,4.61,408.47,164.61,0.403,733.69,14,42.255,2550.7,2.86,1241.08
1904,248.79,82.24,134.03,45.36,510.42,170.0,0.333,729.46,28,66.29,2559.49,7.03,1142.57
1905,201.32,83.88,50.33,0.0,335.53,147.23,0.439,740.26,3,17.597,2465.01,2.96,1239.03
1906,337.42,0.0,433.83,192.81,964.07,142.37,0.148,968.39,7,97.028,2110.86,36.03,0.0
1907,255.19,83.57,162.63,55.71,557.1,175.86,0.316,742.03,14,76.685,2536.51,9.62,1051.89
1908,239.87,90.94,119.94,29.0,479.74,156.41,0.326,703.43,28,55.225,2530.35,5.99,1184.77
1909,205.61,85.67,51.4,0.0,342.68,153.24,0.447,791.49,3,22.109,2489.27,2.94,1198.92
1910,225.9,89.4,112.95,23.55,451.79,156.78,0.347,682.96,7,51.059,2478.18,4.97,1181.68
1911,259.19,80.75,172.8,63.25,575.98,140.69,0.244,746.18,14,84.906,2498.0,10.93,1024.22
1912,212.02,91.86,63.55,0.0,367.43,150.08,0.408,745.38,28,34.59,2466.91,3.34,1200.69
1913,191.79,79.91,47.95,0.0,319.65,157.33,0.492,704.48,3,9.437,2363.47,2.37,1179.64
1914,207.06,86.28,51.77,0.0,345.1,143.74,0.417,730.98,7,28.821,2424.26,2.26,1202.19
1915,255.48,82.78,158.4,55.18,551.84,165.45,0.3,740.17,14,73.749,2545.82,9.33,1079.03
1916,267.88,57.49,181.43,90.49,597.29,133.59,0.224,791.8,28,100.75,2529.2,12.24,994.29
1917,193.5,80.63,48.38,0.0,322.5,158.35,0.491,773.23,3,10.531,2467.0,1.82,1211.09
1918,199.69,83.21,49.92,0.0,332.82,154.92,0.465,751.2,7,21.942,2446.23,2.41,1204.88
1919,355.99,0.0,459.92,203.98,1019.88,153.38,0.15,1085.34,28,140.38,2295.06,36.47,0.0
1920,277.2,59.57,187.62,93.59,617.97,148.48,0.24,759.85,28,100.72,2467.87,15.06,926.51
1921,192.25,80.1,48.06,0.0,320.41,150.3,0.469,774.8,3,11.851,2412.07,2.66,1163.9
1922,343.82,0.0,453.1,199.23,996.16,142.56,0.143,1002.7,28,141.94,2179.3,37.88,0.0
1923,338.65,0.0,403.08,185.43,927.16,141.87,0.153,936.78,28,126.95,2257.07,29.15,222.11
1924,343.38,0.0,475.78,204.79,1023.94,139.4,0.136,1047.28,28,145.86,2252.0,41.38,0.0
1925,198.83,82.85,49.71,0.0,331.39,158.09,0.477,761.62,3,14.479,2446.05,2.08,1192.87
1926,210.8,87.83,52.7,0.0,351.33,144.66,0.412,720.8,7,28.668,2403.96,3.4,1183.77
1927,234.58,91.16,117.29,26.13,469.16,172.92,0.369,710.88,14,52.411,2545.12,6.32,1185.82
1928,254.49,83.44,138.0,47.39,523.31,158.09,0.302,748.8,28,66.85,2562.63,7.58,1124.85
1929,345.94,0.0,478.03,205.99,1029.96,147.87,0.144,1076.51,3,67.224,2294.14,39.8,0.0
1930,205.8,85.75,51.45,0.0,343.01,158.54,0.462,775.24,7,20.857,2515.22,2.04,1236.39
1931,212.0,91.95,63.84,0.0,367.79,159.09,0.433,734.77,14,34.717,2502.77,3.47,1237.64
1932,352.38,0.0,465.33,204.43,1022.15,145.08,0.142,1075.32,28,142.1,2274.09,31.55,0.0
1933,190.01,79.17,47.5,0.0,316.68,142.38,0.45,752.01,3,7.057,2446.66,2.56,1233.03
1934,196.71,81.96,49.18,0.0,327.85,146.99,0.448,750.52,7,16.976,2430.57,2.07,1203.13
1935,211.83,88.96,55.04,0.0,355.83,156.66,0.44,778.08,14,30.364,2463.01,3.26,1169.18
1936,216.78,97.77,80.75,1.41,396.7,157.43,0.397,704.67,28,40.71,2482.24,3.9,1219.53
1937,196.44,81.85,49.11,0.0,327.4,146.86,0.449,701.19,3,14.822,2358.38,2.87,1180.07
1938,350.45,0.0,450.58,200.26,1001.29,151.76,0.152,1081.49,28,139.98,2268.35,33.8,0.0
1939,253.96,79.54,143.72,53.02,530.25,166.89,0.315,752.95,14,70.35,2603.66,8.66,1144.91
1940,274.24,59.44,184.92,92.29,610.9,151.03,0.247,787.8,28,100.54,2463.65,13.1,900.81
1941,190.29,79.29,47.57,0.0,317.14,137.47,0.433,702.26,3,10.375,2377.75,2.18,1218.69
1942,342.66,0.0,473.19,203.96,1019.81,143.06,0.14,975.07,28,145.6,2175.85,37.9,0.0
1943,221.83,98.38,86.79,4.49,411.48,166.15,0.404,699.88,14,42.182,2481.59,3.23,1200.84
1944,254.66,86.43,134.25,43.21,518.55,157.0,0.303,705.52,28,64.444,2526.57,8.08,1137.42
1945,334.07,3.28,328.82,164.08,830.25,135.19,0.163,852.76,3,53.86,2496.69,23.24,655.24
1946,204.18,85.08,51.05,0.0,340.31,158.94,0.467,740.17,7,23.508,2486.99,2.68,1244.91
1947,224.73,99.38,88.64,5.08,417.83,176.03,0.421,723.24,14,42.431,2553.39,3.42,1232.87
1948,253.92,86.74,133.1,42.27,516.03,178.32,0.346,714.53,28,63.97,2539.35,6.67,1123.8
1949,197.62,82.34,49.4,0.0,329.36,143.9,0.437,700.09,3,17.282,2397.61,2.74,1221.52
1950,220.3,95.51,91.67,8.48,415.97,156.67,0.377,717.99,7,41.267,2491.59,3.37,1197.59
1951,338.64,0.0,435.39,193.51,967.54,136.32,0.141,998.48,14,117.023,2140.75,38.42,0.0
1952,261.3,76.79,174.2,68.38,580.68,129.5,0.223,731.71,28,88.88,2473.37,12.59,1018.89
1953,191.35,79.73,47.84,0.0,318.92,158.79,0.498,787.13,3,11.316,2483.16,2.0,1216.31
1954,202.34,84.31,50.58,0.0,337.23,143.44,0.425,773.56,7,26.303,2455.82,2.88,1198.7
1955,353.25,0.0,474.09,206.83,1034.17,158.12,0.153,1086.39,28,143.37,2321.24,42.56,0.0
1956,252.85,82.73,137.33,47.33,520.24,160.65,0.309,734.49,28,66.99,2594.06,7.96,1170.72
1957,340.79,0.0,397.85,184.66,923.3,141.6,0.153,997.89,3,55.523,2447.67,32.79,352.1
1958,342.35,0.0,440.16,195.63,978.14,142.42,0.146,993.68,28,138.71,2144.62,30.38,0.0
1959,228.23,93.01,109.81,19.66,450.71,165.08,0.366,742.38,14,48.726,2514.78,6.04,1150.56
1960,243.78,89.66,121.89,32.23,487.57,161.47,0.331,715.09,28,58.05,2521.43,5.12,1152.17
1961,192.55,80.23,48.14,0.0,320.91,147.36,0.459,746.43,3,11.421,2416.15,1.92,1199.53
1962,344.02,0.0,442.31,196.58,982.91,146.01,0.149,1027.5,7,101.338,2195.3,38.88,0.0
1963,250.17,91.68,125.08,33.4,500.34,182.2,0.364,706.46,14,56.495,2568.58,6.4,1173.18
1964,334.42,0.0,381.78,179.05,895.25,136.1,0.152,916.03,28,125.29,2194.11,28.92,217.81
1965,194.85,81.19,48.71,0.0,324.75,152.38,0.469,762.38,3,12.95,2410.26,1.85,1168.9
1966,344.8,0.0,483.05,206.96,1034.82,147.64,0.143,1009.32,28,146.72,2232.78,41.0,0.0
1967,249.71,91.73,124.85,33.12,499.42,169.47,0.339,727.02,14,57.941,2556.17,6.52,1153.74
1968,238.0,88.76,119.0,30.24,476.0,165.48,0.348,749.22,28,56.769,2595.03,6.88,1197.45
1969,200.39,83.49,50.1,0.0,333.98,140.01,0.419,784.47,3,21.485,2453.36,3.07,1191.84
1970,227.05,92.78,108.62,19.11,447.56,160.0,0.357,683.38,7,48.54,2505.84,5.59,1209.32
1971,252.13,80.77,151.73,53.85,538.48,146.04,0.271,748.14,14,73.925,2525.08,9.01,1083.41
1972,225.83,88.48,112.92,24.43,451.66,147.44,0.326,712.92,28,52.05,2514.59,4.85,1197.72
1973,347.14,0.0,446.32,198.36,991.82,141.15,0.142,1045.62,3,63.744,2217.74,39.14,0.0
1974,305.43,28.17,260.36,127.36,721.33,134.03,0.186,850.48,7,74.173,2435.98,21.01,709.13
1975,221.9,88.49,110.95,22.46,443.8,157.64,0.355,728.35,14,50.306,2512.78,6.29,1176.7
1976,253.92,83.39,163.05,55.6,555.95,157.2,0.283,773.46,28,77.76,2595.51,9.29,1099.62
1977,203.09,84.62,50.77,0.0,338.49,153.08,0.452,706.15,3,25.404,2355.38,2.52,1155.13
1978,228.52,90.84,114.26,23.42,457.03,156.68,0.343,732.0,7,50.617,2503.59,5.34,1152.54
1979,256.02,80.87,170.68,61.37,568.94,141.56,0.249,731.56,14,83.335,2465.89,10.43,1013.39
1980,212.11,91.62,62.76,0.0,366.5,163.89,0.447,740.66,28,34.248,2459.99,3.38,1185.56
1981,288.43,42.31,222.56,108.89,662.19,135.72,0.205,823.9,3,52.889,2578.83,17.32,939.69
1982,215.9,94.11,66.44,0.0,376.46,155.53,0.413,734.31,7,35.298,2443.31,2.82,1174.19
1983,337.7,0.0,419.9,189.4,947.01,143.63,0.152,917.09,14,115.14,2053.25,27.95,17.56
1984,264.1,76.52,176.07,70.2,586.9,137.3,0.234,759.48,28,89.81,2518.17,13.95,1020.54
1985,201.08,83.78,50.27,0.0,335.14,153.06,0.457,790.34,3,18.943,2441.79,2.82,1160.44
1986,225.92,93.61,104.85,16.65,441.04,174.72,0.396,773.87,7,46.527,2617.64,5.78,1222.23
1987,267.44,57.69,180.71,90.16,596.01,123.28,0.207,788.97,14,87.502,2495.84,13.43,974.16
1988,238.93,90.59,119.47,28.87,477.87,164.0,0.343,741.05,28,55.21,2540.86,5.57,1152.38
1989,335.34,8.46,321.8,160.05,825.65,144.83,0.175,810.57,3,48.994,2501.8,21.29,699.44
1990,216.46,91.95,59.4,0.0,367.81,152.39,0.414,701.85,7,32.301,2418.33,2.5,1193.78
1991,253.71,81.22,152.39,54.15,541.46,141.48,0.261,739.3,14,70.27,2494.89,9.43,1063.22
1992,248.73,91.15,124.37,33.21,497.46,170.42,0.343,717.15,28,58.381,2571.17,6.65,1179.49
1993,200.46,83.52,50.11,0.0,334.09,141.53,0.424,724.93,3,23.204,2375.33,2.29,1172.49
1994,281.44,56.79,195.62,97.18,631.03,136.89,0.217,769.56,7,64.267,2516.68,15.03,964.17
1995,252.09,80.81,168.06,59.24,560.21,162.14,0.289,741.0,14,82.875,2478.06,10.78,1003.93
1996,277.39,50.56,200.34,98.95,627.24,124.55,0.199,771.93,28,103.88,2510.44,16.1,970.62
1997,196.2,81.75,49.05,0.0,327.0,158.5,0.485,738.8,3,14.66,2392.61,2.31,1165.99
1998,214.58,89.9,55.11,0.0,359.58,150.99,0.42,706.88,7,29.913,2421.18,2.99,1200.74
1999,225.66,88.44,112.83,24.39,451.32,153.33,0.34,701.91,14,50.248,2503.21,5.66,1190.99
2000,253.67,79.71,169.12,61.22,563.72,149.42,0.265,743.84,28,84.3,2506.23,10.94,1038.31
2001,188.78,78.66,47.2,0.0,314.64,158.98,0.505,739.34,3,9.248,2450.28,2.68,1234.66
2002,198.88,82.87,49.72,0.0,331.46,146.72,0.443,774.35,7,21.042,2458.3,2.57,1203.2
2003,329.87,0.0,413.71,185.9,929.48,148.46,0.16,971.56,28,129.02,2403.86,34.33,320.02
2004,220.92,88.22,110.46,22.23,441.83,150.56,0.341,711.56,28,50.16,2476.38,4.8,1167.62
2005,195.38,81.41,48.84,0.0,325.63,153.96,0.473,725.78,3,12.18,2379.99,1.97,1172.64
2006,203.05,84.6,50.76,0.0,338.41,147.35,0.435,727.19,7,25.389,2382.55,2.63,1166.97
2007,236.83,90.11,118.42,28.3,473.67,171.99,0.363,729.99,14,52.964,2569.0,6.56,1186.8
2008,336.94,8.58,323.2,160.74,829.47,137.3,0.166,820.45,28,117.93,2367.81,24.74,555.85
2009,191.23,79.68,47.81,0.0,318.72,141.84,0.445,746.97,3,9.307,2437.65,1.84,1228.29
2010,202.19,84.25,50.55,0.0,336.98,156.49,0.464,701.84,7,20.692,2379.16,2.67,1181.18
2011,210.09,90.19,60.46,0.0,360.74,155.8,0.432,785.19,14,33.522,2522.31,2.18,1218.4
2012,339.22,0.0,409.51,187.18,935.92,141.89,0.152,930.68,28,127.51,2055.46,32.55,14.41
2013,290.09,40.52,226.69,110.72,668.02,138.83,0.208,799.19,28,107.87,2600.02,17.14,976.85
2014,332.77,0.0,392.02,181.2,905.98,138.51,0.153,999.17,28,126.54,2150.25,27.63,78.96
2015,236.31,88.97,118.16,29.19,472.63,167.56,0.355,747.96,14,55.88,2592.44,6.91,1197.37
2016,254.33,82.99,160.64,55.33,553.29,173.22,0.313,765.65,28,76.78,2649.66,8.89,1148.6
2017,194.48,81.03,48.62,0.0,324.13,141.67,0.437,717.56,3,15.742,2378.17,2.67,1192.14
2018,218.11,96.76,72.17,0.0,387.05,170.18,0.44,799.52,7,37.293,2549.69,3.04,1189.91
2019,337.42,0.0,362.44,174.97,874.83,153.42,0.175,969.56,28,122.86,2398.15,25.18,375.15
